GSE;Skill;Objective;Source
43;Listening;Can understand instructions delivered at normal speed and accompanied by visual support. ;(P)
59;Reading;Can understand instructions for making financial transactions online. ;(P)
32;Listening;Can understand key information about arrangements in simple dialogues spoken slowly and clearly. ;(P)
87;Reading;Can understand long and linguistically complex factual and literary texts, appreciating distinctions of style. ;(CJa)
64;Listening;Can understand main points and check comprehension by using contextual clues. ;(Ca)
58;Reading;Can understand most correspondence relating to their field of interest. ;(Ca)
78;Listening;Can understand most of a linguistically complex podcast. ;(P)
60;Listening;Can understand most of a radio programme about a familiar topic. ;(Ca)
65;Listening;Can understand most of a radio programme aimed at a general audience. ;(P)
51;Listening;Can understand most of a weather forecast on the radio. ;(CSEa)
72;Listening;Can understand most TV news and current affairs programmes. ;(C)
20;Listening;Can understand ordinal numbers from 1 to 100. ;(P)
58;Reading;Can understand problem and solution relationships in a structured text. ;(P)
58;Listening;Can understand problem and solution relationships in informal conversation. ;(P)
23;Listening;Can understand questions addressed carefully and slowly. ;(Ca)
37;Reading;Can understand reports of travel delays and cancellations. ;(P)
37;Reading;Can understand rules and regulations (e.g. ‘safety’) if expressed in simple language. ;(C)
61;Listening;Can understand scripted speech delivered quickly, if the accent is familiar. ;(Ca)
27;Reading;Can understand short written notices, signs and instructions with visual support. ;(P)
35;Listening;Can understand short, basic descriptions of familiar topics and situations, if delivered slowly and clearly.;x
25;Readiing;Can understand short, simple descriptions of objects, people and animals, given visual support. ;(P)
23;Listening;Can understand short, simple instructions addressed carefully and slowly. ;(Ca)
28;Reading;Can understand short, simple messages about when and where to meet. ;(P)
31;Reading;Can understand short, simple messages on postcards, emails and social networks. ;(Ca)
37;Reading;Can understand short, simple narrative texts. ;(CSEa)
39;Reading;Can understand short, simple narratives and biographies. ;(CJa)
37;Reading;Can understand short, simple personal emails and letters. ;(Ca)
30;Reading;Can understand short, simple texts about everyday activities. ;(P)
30;Reading;Can understand simple descriptions of people’s physical appearance. ;(P)
27;Reading;Can understand simple descriptions of places. ;(P)
40;Reading;Can understand simple details in informational texts  (blogs, websites, catalogues,  etc.). ;(P)
26;Listening;Can understand simple directions from X to Y on foot or public transport. ;(Ca)
28;Listening;Can understand simple directions, if spoken slowly and clearly. ;(P)
39;Reading;Can understand simple factual titles and headlines relating to common events. ;(P) 
34;Reading;Can understand simple instructions on everyday equipment (e.g. ‘cash machines’). ;(Ca)
20;Listening;Can understand simple language related to prices and quantities. ;(P)
29;Reading;Can understand simple phrases related to familiar, everyday activities. ;(P)
31;Reading;Can understand simple questions in questionnaires on familiar topics. ;(P)
30;Reading;Can understand simple safety instructions, with visual support. ;(P)
26;Listening;Can understand simple spoken commands in a game or sport. ;(P)
43;Reading;Can understand simple technical information (e.g. ‘instructions for everyday equipment’). ;(Ca)
49;Listening;Can understand simple technical instructions for everyday equipment. ;(Ca)
33;Listening;Can understand simple, everyday conversations if conducted slowly and clearly. ;(Ca)
38;Listening;Can understand specific information in a short, simple phone call. ;(P)
38;Listening;Can understand standard speech on familiar matters, with some repetition or reformulation. ;(Ca)
79;Listening;Can understand stories being told by a fluent speaker using colloquial language. ;(P)
69;Listening;Can understand summaries of data or research used to support an extended argument. ;(P)
64;Listening;Can understand the advantages and disadvantages of different options during a discussion. ;(P)
62;Reading;Can understand the author’s purpose and intended audience. ;(P)
82;Listening;Can understand the details in a linguistically complex audio recording. ;(P)
86;Listening;Can understand the details of extended and linguistically complex professional and technical presentations. ;(N2000a)
83;Listening;Can understand the details of extended and linguistically complex talks on a range of political, environmental, and social issues. ;(P)
68;Reading;Can understand the details of long complex instructions in their field, rereading as necessary. ;(Ca)
80;Reading;Can understand the details of long complex texts in their field without needing to reread. ;(Ca)
34;Reading;Can understand the general meaning of short, simple informational material and descriptions if there is visual support. ;(Ca)
39;Reading;Can understand the instructions to buy tickets online. ;(P)
74;Reading;Can understand the intended double meaning of a word in a written text. ;(P)
78;Listening;Can understand the intended double meaning of a word used in a joke. ;(P)
39;Listening;Can understand the key details of hotel, restaurant, and transport reservations. ;(P)
53;Listening;Can understand the key points about a radio programme on a familiar topic. ;(P)
10;Listening;Can understand the letters of the alphabet. ;(P)
66;Listening;Can understand the main ideas of complex technical discussions in their field. ;(Ca)
42;Reading;Can understand the main information from simple diagrams (e.g. ‘graphs’, ‘bar charts’). ;(P)
33;Listening;Can understand the main information in short, simple dialogues about familiar activities, if spoken slowly and clearly. ;(P)
34;Listening;Can understand the main information in simple conversations about hobbies and interests. ;(P)
22;Listening;Can understand the main information when people introduce themselves (e.g. ‘name’, ‘age’, ‘where they are from’). ;(P)
42;Listening;Can understand the main points of a short, informal interview on a familiar topic. ;(P)
48;Listening;Can understand the main points of a simple podcast. ;(P)
72;Listening;Can understand the main points of complex academic/professional presentations. ;(Ca)
71;Listening;Can understand the main points of complex and abstract presentations in their field. ;(Ca)
47;Listening;Can understand the main points of narratives and conversations about familiar topics (e.g. ‘work’, ‘leisure’) delivered in clear standard speech. ;(Ca)
62;Reading;Can understand the plot of extended narratives written in standard, non-literary language. ;(CJa)
68;Reading;Can understand the positive and negative connotations of words that have similar meanings. ;(P)
50;Reading;Can understand the relationship between a main point and an example in a structured text. ;(P)
65;Listening;Can understand the speaker’s point of view on most topics delivered at natural speed and in standard language. ;(CJa)
18;Listening;Can understand the time of day when expressed in full hours. ;(P)
23;Listening;Can understand the time of day when expressed to the quarter hour. ;(P)
23;Listening;Can understand the time of day when expressed to within five minutes. ;(P)
72;Listening;Can understand the use of irony to emphasise a speaker’s meaning. ;(P)
78;Reading;Can understand the use of puns, allusions, jokes etc. in adverts or newspaper headlines. ;(P)
64;Listening;Can understand TV documentaries, interviews, plays and most films in standard speech. ;(Ca) 
64;Listening;Can understand unscripted speech delivered quickly, if the accent is familiar. ;(Ca)
16;Listening;Can understand very basic common classroom instructions. ;(P)
29;Listening;Can understand what people say they can or can’t do from simple sentences spoken slowly and clearly.;x
71;Listening;Can understand when something is being said ironically in a casual conversation. ;(N2007a)
35;Listening;Can understand who a phone call is intended for. ;(P)
55;Reading;Can understand written advice and instructions for resolving a problem with a product or piece of equipment. ;(P)
44;Reading;Can understand written instructions for taking medication. ;(P)
53;Speaking;Can use a basic repertoire of conversation strategies to maintain a discussion. ;(Ca)
12;Speaking;Can use a few basic words and phrases to show politeness (e.g. ‘please’, ‘thank you’). ;(P)
18;Speaking;Can use a few simple words to describe objects (e.g. ‘colour’, ‘number’), if supported by pictures. ;(P)
61;Speaking;Can use a limited number of cohesive devices with some ‘jumpiness’ in a long contribution. ;(Ca)
35;Speaking;Can use a limited range of fixed expressions to describe objects, possessions, or products. ;(P)
59;Reading;Can use a monolingual dictionary to check the meaning of words without needing to refer to a bilingual dictionary. ;(P)
62;Speaking;Can use a range of language to express degrees of enthusiasm. ;(P)
65;Speaking;Can use a range of language to express degrees of reluctance. ;(P)
61;Speaking;Can use a range of language to make detailed comparisons of quantities. ;(P)
67;Speaking;Can use a suitable phrase to intervene in a discussion on a familiar topic. ;(Ca)
52;Speaking;Can use a suitable phrase to invite others into a discussion. ;(Ca)
71;Speaking;Can use a variety of linking words efficiently to mark clearly the relationships between ideas. ;(N2000) 
69;Reading;Can use a variety of reference materials to check factual information quickly and efficiently. ;(P)
80;Speaking;Can use a wide range of persuasive techniques in presentations and discussions to encourage others to take a course of action. ;(P)
40;Writing;Can use appropriate openings and endings in simple informal emails. ;(P)
26;Writing;Can use basic punctuation (e.g. ‘commas’, ‘full stops’, ‘question marks’). ;(P)
28;Speaking;Can use basic words to describe common weather conditions. ;(P)
32;Speaking;Can use brief, everyday expressions to ask for and give personal details. ;(Ca)
28;Speaking;Can use brief, everyday expressions to describe wants and needs, and request information. ;(Ca)
24;Writing;Can use capital letters appropriately. ;(P)
73;Speaking;Can use circumlocution and paraphrase to cover gaps in vocabulary and structure. ;(C)
51;Writing;Can use common connectors to tell a story or describe an event in writing. ;(Ca)
44;Speaking;Can use fixed expressions to keep a conversation going (e.g. ‘I see.’, ‘right’). ;(CSEa) 
69;Speaking;Can use hyperbole to emphasise a point (e.g. ‘It’s going to take me years to do this.’). ;(P)
65;Speaking;Can use intonation to indicate various degrees of certainty during a discussion. ;(P)
51;Writing;Can use limited discourse devices to link sentences smoothly into connected discourse. ;(Ca)
79;Writing;Can use linguistic devices such as fronting to emphasise key information in a sentence. ;(P)
63;Reading;Can use reference materials to check factual information, when guidance on finding relevant sources of information is provided. ;(P)
71;Speaking;Can use rhetorical questions in a presentation to keep the audience interested. ;(P)
45;Speaking;Can use simple appropriate language to check that information has been understood on the phone. ;(P)
49;Writing;Can use simple cohesive devices such as repetition in a structured text. ;(P)
45;Speaking;Can use simple expressions to explain a basic technical problem. ;(P)
38;Speaking;Can use simple fixed expressions to give encouragement (e.g. ‘You can do it!’) ;(P)
34;Speaking;Can use simple language to describe people’s appearance. ;(N2000)
39;Speaking;Can use simple language to describe people’s personality and emotions. ;(P)
31;Speaking;Can use simple phrases to order a meal. ;(Ca)
36;Speaking;Can use simple, everyday polite forms of greeting and address. ;(C)
42;Speaking;Can use some basic interjections to express understanding, surprise, disappointment, and excitement. ;(P)
17;Speaking;Can use some very basic words to ask for food and drink. ;(P)
64;Speaking;Can use stock phrases to gain time and keep the turn whilst formulating what to say. ;(Ca)
55;Speaking;Can use synonyms to describe or gloss an unknown word. ;(Ca)
31;Writing;Can use very basic connectors like ‘and’, ‘but’, ‘so’ and ‘then’. ;(Ca)
55;Writing;Can vary the formality of greetings in emails/letters based on intended recipients. ;(P)
44;Writing;Can write a basic description of experiences, feelings and reactions, given a model. ;(P)
41;Writing;Can write a basic email/letter accepting or declining an invitation. ;(P)
51;Writing;Can write a basic email/letter of complaint requesting action. ;(P)
46;Writing;Can write a basic formal email/letter requesting information. ;(P)
41;Writing;Can write a basic informal email/letter of invitation with simple, key details. ;(P)
48;Writing;Can write a basic letter of application with limited supporting details. ;(P)
50;Writing;Can write a basic summary of a simple text using the original wording and paragraph order. ;(Ca) 
61;Writing;Can write a brief standard report conveying factual information, stating reasons for actions. ;(Ca)
40;Writing;Can write a brief summary of their own personal details, e.g. ‘for a business card’. ;(P)
76;Writing;Can write a clear summary of a complex factual text, maintaining its original tone and message. ;(P)
64;Writing;Can write a concise summary of the main ideas of a longer structured text. ;(P)
46;Writing;Can write a description of a future event or activity. ;(P)
58;Writing;Can write a description of a problem with a product or piece of equipment. ;(P)
53;Writing;Can write a description of a real or imagined event (e.g. ‘a recent trip’). ;(C)
38;Writing;Can write a description of a simple everyday process (e.g. ‘a recipe’). ;(P)
57;Writing;Can write a description of items for sale on a trading website. ;(P)
77;Writing;Can write a detailed critical review of cultural events (e.g. ‘plays’, ‘films’, ‘concerts’) or literary works. ;(P)
74;Writing;Can write a detailed description of a complex process. ;(P)
59;Writing;Can write a detailed description of an object, device or product. ;(P)
72;Writing;Can write a detailed, reasoned argument for or against a case. ;(N2007a)
24;Writing;Can write a few basic sentences introducing themselves (e.g. ‘name’, ‘age’, ‘where they are from’), given prompts or a model. ;(P)
31;Writing;Can write a few basic sentences to introduce someone and give basic personal information about them.;x
67;Writing;Can write a forceful but polite letter of complaint, including supporting details and a statement of the desired outcome. ;(P)
55;Writing;Can write a formal email/letter accepting or declining an invitation. ;(P)
60;Writing;Can write a formal email/letter of invitation with appropriate register and conventions. ;(P)
59;Writing;Can write a formal email/letter of thanks or apology with appropriate conventions. ;(P)
54;Writing;Can write a formal email/letter requesting information. ;(P)
76;Writing;Can write a letter of application using appropriate conventions and a range of linguistically complex language. ;(P)
65;Writing;Can write a letter of application with appropriate register, conventions and supporting detail. ;(P)
65;Writing;Can write a letter of complaint with appropriate register, structure and conventions. ;(P)
57;Writing;Can write a letter or email of complaint with supporting details. ;(P)
46;Writing;Can write a notice that clearly conveys information. ;(P)
42;Writing;Can write a short description of a trip or event. ;(P)
37;Writing;Can write a short description of familiar activities, given visual support. ;(P)
46;Writing;Can write a short review of a restaurant, movie, etc. using simple language. ;(P)
45;Writing;Can write a short, simple description of a familiar device or product. ;(P)
40;Writing;Can write a short, simple email/letter asking for information about an apartment or house to rent. ;(P)
31;Writing;Can write a simple description of a room, house or apartment. ;(P)
39;Writing;Can write a simple email/letter in response to a request for information. ;(P)
44;Writing;Can write a simple outline for a piece of writing, given a model. ;(P)
52;Writing;Can write a simple review of a film, book or TV programme using a limited range of language. ;(P)
40;Writing;Can write a simple story or description of an event using basic time expressions. ;(P)
35;Writing;Can write a simple text (e.g. ‘an invitation to a party’) containing key information, given a model. ;(P)
51;Writing;Can write a simple, structured informational leaflet/brochure, given a model. ;(P)
31;Writing;Can write a standard greeting on a card. ;(P)
45;Writing;Can write a story with a simple linear sequence. ;(Ca)
70;Writing;Can write a structured report analysing advantages and disadvantages of a situation and recommending action. ;(P)
69;Writing;Can write a structured review of a film, book or play with some references and examples. ;(Ca) 
62;Writing;Can write a structured text clearly signalling main points and supporting details. ;(P)
85;Writing;Can write about complex subjects, underlining the key issues and in a style appropriate to the intended reader. ;(CJa)
41;Writing;Can write about everyday things (e.g. ‘people’, ‘places’, ‘job, study’) in linked sentences. ;(Ca) 
50;Writing;Can write about experiences, feelings and reactions in a simple connected text. ;(Ca)
67;Writing;Can write about feelings and the personal significance of experiences in detail. ;(Ca)
90;Writing;Can write about literature and poetry in detail, giving reasons for their opinions and interpretation using linguistically complex language. ;(P)
44;Writing;Can write about personal experiences in a diary or online posting, given a model. ;(P)
47;Writing;Can write about personal interests in some detail. ;(P)
77;Writing;Can write an accurate summary of a complex, discursive text. ;(P)
66;Writing;Can write an accurate summary of an essay or article on a familiar topic. ;(P)
45;Writing;Can write an email/letter congratulating someone on something. ;(P)
51;Writing;Can write an email/letter sending a message of sympathy. ;(P)
47;Writing;Can write an everyday connected text using a set of short elements or facts and building them into a sequence. ;(Ca)
61;Writing;Can write an extended description of events taking place in their immediate environment. ;(P)
39;Writing;Can write basic instructions with a simple list of points. ;(P)
34;Writing;Can write basic personal details for a website profile, business card, etc. ;(P)
39;Writing;Can write basic sentences comparing products, people or places. ;(P)
26;Writing;Can write basic sentences describing everyday objects (e.g. ‘colour’, ‘size’), given a model. ;(P)
12;Writing;Can write cardinal numbers from 1 to 20 as words. ;(CSEa)
68;Writing;Can write clear and precise emails intended to create rapport and put the addressee at ease. ;(Ca)
67;Writing;Can write clear, detailed descriptions on a variety of subjects related to their field of interest. ;(C)
58;Writing;Can write comments and complaints about products and services. ;(P)
20;Writing;Can write consistently with joined-up letters. ;(P)
28;Writing;Can write dates using both digits and words. ;(P)
41;Writing;Can write descriptions of everyday personal experiences. ;(P)
47;Writing;Can write descriptions of past events, activities, or personal experiences. ;(P)
47;Writing;Can write descriptions of real or imaginary people. ;(P)
59;Writing;Can write detailed descriptions of real or imaginary people. ;(P)
63;Writing;Can write detailed descriptions of real or imaginary places. ;(P) 
53;Writing;Can write emails/letters exchanging information, emphasising the most important point. ;(Ca)
58;Writing;Can write emails/letters responding to personal news and views in detail. ;(Ca)
66;Writing;Can write engaging headlines or titles to capture a reader’s attention. ;(P)
76;Writing;Can write essays and reports synthesising information from a number of sources. ;(P)
50;Writing;Can write fractions using both digits and words. ;(P)
62;Writing;Can write informal emails or letters using a range of idiomatic phrases. ;(P)
58;Writing;Can write instructions on how to look after an object, device or product. ;(P)
61;Writing;Can write instructions on how to repair an object, device or product. ;(P)
56;Writing;Can write instructions on how to use a device or product. ;(P)
85;Writing;Can write linguistically complex and logically structured reports and articles. ;(CJa)
64;Writing;Can write personal emails/letters about abstract or cultural topics (e.g. ‘music’, ‘films’). ;(Ca)
50;Writing;Can write personal emails/letters giving advice. ;(P)
60;Writing;Can write personal emails/letters giving and commenting on news in detail. ;(Ca)
48;Writing;Can write personal emails/letters giving some details of events, experiences and feelings. ;(Ca)
55;Writing;Can write personal emails/letters, reporting recent events in detail. ;(CJa)
55;Writing;Can write personal updates on a social media website using an appropriate style. ;(P)
67;Writing;Can write relevant subheadings to structure longer more complex texts. ;(P)
39;Writing;Can write short basic descriptions of past events and activities. ;(P)
34;Writing;Can write short descriptive texts (4–6 sentences) on familiar personal topics (e.g. ‘family’, ‘possessions’), given a model. ;(P)
34;Writing;Can write short texts about their likes and dislikes using basic fixed expressions. ;(P)
38;Writing;Can write short texts about their likes and dislikes, with explanations. ;(CSEa)
36;Writing;Can write short texts describing favourite objects, possessions or household pets. ;(CSEa)
33;Writing;Can write short, basic descriptions of everyday activities, given a model. ;(P)
38;Writing;Can write short, basic descriptions of places, people or things. ;(P)
51;Writing;Can write short, simple biographies about real or imaginary people. ;(Ca)
36;Writing;Can write short, simple descriptions of people’s physical appearance using basic connectors, given prompts or a model. ;(P)
46;Writing;Can write short, simple essays with basic structure on familiar topics. ;(Ca)
38;Writing;Can write short, simple notes, emails and messages relating to everyday matters. ;(Ca)
28;Writing;Can write short, simple notes, emails and postings to friends. ;(N2000a)
46;Writing;Can write simple informal emails/letters and online postings giving news or opinions. ;(P)
46;Writing;Can write simple instructions on how to use a device or product, given a model. ;(P)
31;Writing;Can write simple plans and arrangements on a calendar or in a diary. ;(CSEa)
29;Writing;Can write simple sentences about a familiar object. ;(P)
40;Writing;Can write simple sentences about a future trip or event. ;(P)
27;Writing;Can write simple sentences about personal interests. ;(P)
33;Writing;Can write simple sentences about personal skills. ;(P)
28;Writing;Can write simple sentences about someone’s life and routines. ;(P)
31;Writing;Can write simple sentences about someone’s work and duties. ;(P)
41;Writing;Can write simple sentences about their educational background and present or past job. ;(Ca)
27;Writing;Can write simple sentences about their family and where they live. ;(Ca)
25;Writing;Can write simple sentences about things that they and other people have. ;(P)
30;Writing;Can write simple sentences about what they and other people do. ;(Ca)
31;Writing;Can write simple sentences about what they or other people can or can’t do. ;(P)
53;Writing;Can write simple structured essays, organising basic ideas. ;(P)
42;Writing;Can write simple texts giving key information about their culture (e.g. ‘food’, ‘national holidays’, ‘festivals’).;x
40;Writing;Can write simple texts or emails making arrangements to meet, given a model. ;(P)
80;Writing;Can write summaries and reviews of professional or literary works. ;(CJa)
46;Writing;Can write the concluding sentence or sentences of a basic paragraph, given a model. ;(P)
10;Writing;Can write the letters of the alphabet in upper and lower case. ;(P)
10;Writing;Can write their name, address and nationality. ;(Ca)
29;Writing;Can write times using both digits and words. ;(P)
32;Writing;Can write very short, basic directions. ;(P)
32;Writing;Can write very short, simple sentences about their feelings. ;(P)
38;Writing;Can write very simple personal emails/letters expressing thanks and apology. ;(Ca)
